"collectionCode","catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"Fish","14788","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16632","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180142","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24045","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24351","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24356","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24355","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24354","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24352","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24350","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24040","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24357","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24044","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24327","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24329","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24328","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24326","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24325","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24353","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16532","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16533","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14744","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14745","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14746","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17084","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17068","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14796","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180152","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180149","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180151","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17070","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17073","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17072","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17071","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17060","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17059","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17080","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14799","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17082","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14797","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17083","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17079","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17086","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17081","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17056","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17057","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17058","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17064","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17067","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17066","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17063","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17069","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17085","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14751","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14725","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14726","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14722","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14731","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14729","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14719","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14728","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14723","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14755","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14749","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14727","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14720","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14801","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14752","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180155","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14756","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14759","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","36477","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14754","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14758","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14760","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14753","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14757","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14750","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14795","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14800","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14798","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","14724","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180135","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17097","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17052","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17054","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17053","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17050","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17051","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17065","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20194","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17095","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16848","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17049","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16849","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180150","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180156","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180147","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180153","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180154","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180148","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20196","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17055","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","16847","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17091","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17078","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17077","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17076","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17074","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17075","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17062","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17061","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17096","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17087","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17092","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","17088","Atlantic Ocean",,,"Atlantic Ocean"
