"collectionCode","catalogNumber","decimalLatitude","decimalLongitude","error"
"Fish","153894","31.98083",,"missing decimalLongitude"
"Fish","153888","31.98083",,"missing decimalLongitude"
"Fish","153886","31.98083",,"missing decimalLongitude"
"Fish","153890","31.98083",,"missing decimalLongitude"
"Fish","153922","31.92945",,"missing decimalLongitude"
"Fish","153920","31.92945",,"missing decimalLongitude"
"Fish","153924","31.92945",,"missing decimalLongitude"
"Fish","153917","31.92945",,"missing decimalLongitude"
"Fish","153923","31.92945",,"missing decimalLongitude"
"Fish","153925","31.92945",,"missing decimalLongitude"
"Fish","153918","31.92945",,"missing decimalLongitude"
"Fish","153926","31.92945",,"missing decimalLongitude"
"Fish","153921","31.92945",,"missing decimalLongitude"
"Fish","153919","31.92945",,"missing decimalLongitude"
"Fish","154364","31.98083",,"missing decimalLongitude"
"Fish","154367","31.98083",,"missing decimalLongitude"
"Fish","154369","31.98083",,"missing decimalLongitude"
"Fish","154371","31.98083",,"missing decimalLongitude"
"Fish","154365","31.98083",,"missing decimalLongitude"
"Fish","154370","31.98083",,"missing decimalLongitude"
"Fish","154366","31.98083",,"missing decimalLongitude"
"Fish","154372","31.98083",,"missing decimalLongitude"
"Fish","154368","31.98083",,"missing decimalLongitude"
"Fish","154395","31.92945",,"missing decimalLongitude"
"Fish","154394","31.92945",,"missing decimalLongitude"
"Fish","154397","31.92945",,"missing decimalLongitude"
"Fish","154398","31.92945",,"missing decimalLongitude"
"Fish","154396","31.92945",,"missing decimalLongitude"
"Fish","154820","31.98083",,"missing decimalLongitude"
"Fish","154819","31.98083",,"missing decimalLongitude"
"Fish","154838","31.92945",,"missing decimalLongitude"
"Fish","154843","31.92945",,"missing decimalLongitude"
"Fish","154842","31.92945",,"missing decimalLongitude"
"Fish","154840","31.92945",,"missing decimalLongitude"
"Fish","154839","31.92945",,"missing decimalLongitude"
"Fish","154841","31.92945",,"missing decimalLongitude"
"Fish","180033","-12.45167",,"missing decimalLongitude"
"Fish","189329","30.39056",,"missing decimalLongitude"
"Fish","53259",,"-87.45333","missing decimalLatitude"
"Fish","53261",,"-87.45333","missing decimalLatitude"
"Fish","53258",,"-87.45333","missing decimalLatitude"
"Fish","53262",,"-87.45333","missing decimalLatitude"
"Fish","53263",,"-87.45333","missing decimalLatitude"
"Fish","53270",,"-87.45333","missing decimalLatitude"
"Fish","53264",,"-87.45333","missing decimalLatitude"
"Fish","53272",,"-87.45333","missing decimalLatitude"
"Fish","53268",,"-87.45333","missing decimalLatitude"
"Fish","53269",,"-87.45333","missing decimalLatitude"
"Fish","53267",,"-87.45333","missing decimalLatitude"
"Fish","53271",,"-87.45333","missing decimalLatitude"
"Fish","53265",,"-87.45333","missing decimalLatitude"
"Fish","53260",,"-87.45333","missing decimalLatitude"
"Fish","53266",,"-87.45333","missing decimalLatitude"
"Fish","53273",,"-87.45333","missing decimalLatitude"
"Fish","198132","35.4994",,"missing decimalLongitude"
"Fish","198133","35.4994",,"missing decimalLongitude"
"Fish","198134","35.4994",,"missing decimalLongitude"
"Fish","198135","35.4994",,"missing decimalLongitude"
"Fish","199187","35.4994",,"missing decimalLongitude"
"Fish","199188","35.4994",,"missing decimalLongitude"
"Fish","199189","35.4994",,"missing decimalLongitude"
"Fish","199190","35.4994",,"missing decimalLongitude"
"Fish","199363","35.4994",,"missing decimalLongitude"
"Fish","199364","35.4994",,"missing decimalLongitude"
