"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimContinent","Continent"
"Fish","201605",,"Pacific Ocean","Asia","Asia"
"Fish","201606",,"Pacific Ocean","Asia","Asia"
"Fish","201607",,"Pacific Ocean","Asia","Asia"
"Fish","201608",,"Pacific Ocean","Asia","Asia"
"Fish","201609",,"Pacific Ocean","Asia","Asia"
"Fish","201598",,"Pacific Ocean","Asia","Asia"
"Fish","201611",,"Pacific Ocean","Asia","Asia"
"Fish","201597",,"Pacific Ocean","Asia","Asia"
"Fish","201613",,"Pacific Ocean","Asia","Asia"
"Fish","201614",,"Pacific Ocean","Asia","Asia"
"Fish","201615",,"Pacific Ocean","Asia","Asia"
"Fish","201616",,"Pacific Ocean","Asia","Asia"
"Fish","201617",,"Pacific Ocean","Asia","Asia"
"Fish","201618",,"Pacific Ocean","Asia","Asia"
"Fish","201619",,"Pacific Ocean","Asia","Asia"
"Fish","201620",,"Pacific Ocean","Asia","Asia"
"Fish","201621",,"Pacific Ocean","Asia","Asia"
"Fish","201622",,"Pacific Ocean","Asia","Asia"
"Fish","201623",,"Pacific Ocean","Asia","Asia"
"Fish","201610",,"Pacific Ocean","Asia","Asia"
"Fish","201580",,"Pacific Ocean","Asia","Asia"
"Fish","201567",,"Pacific Ocean","Asia","Asia"
"Fish","201568",,"Pacific Ocean","Asia","Asia"
"Fish","201569",,"Pacific Ocean","Asia","Asia"
"Fish","201570",,"Pacific Ocean","Asia","Asia"
"Fish","201571",,"Pacific Ocean","Asia","Asia"
"Fish","201572",,"Pacific Ocean","Asia","Asia"
"Fish","201573",,"Pacific Ocean","Asia","Asia"
"Fish","201574",,"Pacific Ocean","Asia","Asia"
"Fish","201575",,"Pacific Ocean","Asia","Asia"
"Fish","201576",,"Pacific Ocean","Asia","Asia"
"Fish","201577",,"Pacific Ocean","Asia","Asia"
"Fish","201599",,"Pacific Ocean","Asia","Asia"
"Fish","201579",,"Pacific Ocean","Asia","Asia"
"Fish","201509",,"Pacific Ocean","Asia","Asia"
"Fish","201581",,"Pacific Ocean","Asia","Asia"
"Fish","201582",,"Pacific Ocean","Asia","Asia"
"Fish","201583",,"Pacific Ocean","Asia","Asia"
"Fish","201584",,"Pacific Ocean","Asia","Asia"
"Fish","201585",,"Pacific Ocean","Asia","Asia"
"Fish","201586",,"Pacific Ocean","Asia","Asia"
"Fish","201587",,"Pacific Ocean","Asia","Asia"
"Fish","201588",,"Pacific Ocean","Asia","Asia"
"Fish","201589",,"Pacific Ocean","Asia","Asia"
"Fish","201590",,"Pacific Ocean","Asia","Asia"
"Fish","201596",,"Pacific Ocean","Asia","Asia"
"Fish","201578",,"Pacific Ocean","Asia","Asia"
"Fish","201419",,"Pacific Ocean","Asia","Asia"
"Fish","201431",,"Pacific Ocean","Asia","Asia"
"Fish","201407",,"Pacific Ocean","Asia","Asia"
"Fish","201408",,"Pacific Ocean","Asia","Asia"
"Fish","201409",,"Pacific Ocean","Asia","Asia"
"Fish","201410",,"Pacific Ocean","Asia","Asia"
"Fish","201411",,"Pacific Ocean","Asia","Asia"
"Fish","201412",,"Pacific Ocean","Asia","Asia"
"Fish","201413",,"Pacific Ocean","Asia","Asia"
"Fish","201414",,"Pacific Ocean","Asia","Asia"
"Fish","201415",,"Pacific Ocean","Asia","Asia"
"Fish","201416",,"Pacific Ocean","Asia","Asia"
"Fish","201405",,"Pacific Ocean","Asia","Asia"
"Fish","201418",,"Pacific Ocean","Asia","Asia"
"Fish","201404",,"Pacific Ocean","Asia","Asia"
"Fish","201511",,"Pacific Ocean","Asia","Asia"
"Fish","201421",,"Pacific Ocean","Asia","Asia"
"Fish","201495",,"Pacific Ocean","Asia","Asia"
"Fish","201423",,"Pacific Ocean","Asia","Asia"
"Fish","201424",,"Pacific Ocean","Asia","Asia"
"Fish","201425",,"Pacific Ocean","Asia","Asia"
"Fish","201426",,"Pacific Ocean","Asia","Asia"
"Fish","201427",,"Pacific Ocean","Asia","Asia"
"Fish","201428",,"Pacific Ocean","Asia","Asia"
"Fish","201429",,"Pacific Ocean","Asia","Asia"
"Fish","201430",,"Pacific Ocean","Asia","Asia"
"Fish","201417",,"Pacific Ocean","Asia","Asia"
"Fish","201392",,"Pacific Ocean","Asia","Asia"
"Fish","201379",,"Pacific Ocean","Asia","Asia"
"Fish","201380",,"Pacific Ocean","Asia","Asia"
"Fish","201381",,"Pacific Ocean","Asia","Asia"
"Fish","201382",,"Pacific Ocean","Asia","Asia"
"Fish","201383",,"Pacific Ocean","Asia","Asia"
"Fish","201384",,"Pacific Ocean","Asia","Asia"
"Fish","201385",,"Pacific Ocean","Asia","Asia"
"Fish","201386",,"Pacific Ocean","Asia","Asia"
"Fish","201387",,"Pacific Ocean","Asia","Asia"
"Fish","201388",,"Pacific Ocean","Asia","Asia"
"Fish","201389",,"Pacific Ocean","Asia","Asia"
"Fish","201406",,"Pacific Ocean","Asia","Asia"
"Fish","201391",,"Pacific Ocean","Asia","Asia"
"Fish","201422",,"Pacific Ocean","Asia","Asia"
